Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Time (sec)
C++, oddevensort_50000, 50000, 54.830627 , 29.406006 , 0.022888 , 0.000000 ,  2.22784 
C++, oddevensort_50000, 50000, 54.358948 , 29.143127 , 0.017578 , 0.000000 ,  2.20937 
C++, oddevensort_50000, 50000, 54.399109 , 29.322632 , 0.019775 , 0.000000 ,  2.19688 
C++, quicksort_50000, 50000, 0.286926 , 0.136780 , 0.008545 , 0.000000 ,  0.011936 
C++, quicksort_50000, 50000, 0.221130 , 0.118469 , 0.001404 , 0.000000 ,  0.009159 
C++, quicksort_50000, 50000, 0.161011 , 0.044983 , 0.000000 , 0.000000 ,  0.009538 
C++, quicksort_50000, 50000, 0.148499 , 0.047974 , 0.000000 , 0.000000 ,  0.009596 
C++, quicksort_50000, 50000, 0.145325 , 0.044556 , 0.000000 , 0.000000 ,  0.009484 
C++, selectionsort_50000, 50000, 18.260864 , 9.654968 , 0.017212 , 0.000000 ,  0.753457 
C++, selectionsort_50000, 50000, 18.346924 , 9.805847 , 0.013184 , 0.000000 ,  0.748058 
C++, selectionsort_50000, 50000, 18.185364 , 9.802246 , 0.000000 , 0.000000 ,  0.735612 
C++, selectionsort_50000, 50000, 18.240417 , 9.795410 , 0.009155 , 0.000000 ,  0.740195 
C++, selectionsort_50000, 50000, 18.228760 , 9.782288 , 0.010498 , 0.000000 ,  0.740056 
C#, bubblesort_50000.sh, 50000, 167.824402 , 89.749817 , 0.071594 , 0.000000 ,  6.84286 
C#, bubblesort_50000.sh, 50000, 167.523743 , 90.165833 , 0.051086 , 0.000000 ,  6.78265 
C#, bubblesort_50000.sh, 50000, 167.284485 , 90.004456 , 0.060120 , 0.000000 ,  6.77179 
C#, bubblesort_50000.sh, 50000, 168.023499 , 90.310120 , 0.057007 , 0.000000 ,  6.80821 
C#, bubblesort_50000.sh, 50000, 167.973999 , 90.512878 , 0.059082 , 0.000000 ,  6.78734 
C#, cyclesort_50000.sh, 50000, 246.003784 , 132.131958 , 0.088989 , 0.000000 ,  9.97713 
C#, cyclesort_50000.sh, 50000, 245.683472 , 131.600159 , 0.082520 , 0.000000 ,  9.99517 
C#, cyclesort_50000.sh, 50000, 246.038452 , 131.606873 , 0.088806 , 0.000000 ,  10.0304 
C#, cyclesort_50000.sh, 50000, 244.915100 , 131.137634 , 0.088928 , 0.000000 ,  9.97186 
C#, cyclesort_50000.sh, 50000, 245.346313 , 131.559387 , 0.087036 , 0.000000 ,  9.96654 
C#, heapsort_50000.sh, 50000, 1.347107 , 0.513123 , 0.000000 , 0.000000 ,  0.072768 
C#, heapsort_50000.sh, 50000, 0.666565 , 0.316895 , 0.000000 , 0.000000 ,  0.031178 
C#, heapsort_50000.sh, 50000, 0.677673 , 0.329895 , 0.000000 , 0.000000 ,  0.03135 
C#, heapsort_50000.sh, 50000, 0.705322 , 0.349915 , 0.000000 , 0.000000 ,  0.030498 
C#, heapsort_50000.sh, 50000, 0.724243 , 0.379639 , 0.000000 , 0.000000 ,  0.029757 
C#, insertionsort_50000.sh, 50000, 38.114319 , 20.365234 , 0.029480 , 0.000000 ,  1.55175 
C#, insertionsort_50000.sh, 50000, 37.190002 , 20.056885 , 0.009338 , 0.000000 ,  1.50341 
C#, insertionsort_50000.sh, 50000, 37.434204 , 20.203125 , 0.013428 , 0.000000 ,  1.50957 
C#, insertionsort_50000.sh, 50000, 37.360413 , 20.165955 , 0.010864 , 0.000000 ,  1.50868 
C#, insertionsort_50000.sh, 50000, 37.503906 , 20.188599 , 0.016602 , 0.000000 ,  1.5162 
C#, mergesort_50000.sh, 50000, 1.112976 , 0.296082 , 0.012329 , 0.000000 ,  0.068469 
C#, mergesort_50000.sh, 50000, 0.787598 , 0.246460 , 0.001099 , 0.000000 ,  0.046833 
C#, mergesort_50000.sh, 50000, 0.986694 , 0.477661 , 0.001282 , 0.000000 ,  0.045251 
C#, mergesort_50000.sh, 50000, 0.966797 , 0.454956 , 0.000000 , 0.000000 ,  0.045807 
C#, mergesort_50000.sh, 50000, 0.713684 , 0.348328 , 0.000000 , 0.000000 ,  0.031812 
C#, oddevensort_50000.sh, 50000, 116.720276 , 62.722656 , 0.060242 , 0.000000 ,  4.7305 
C#, oddevensort_50000.sh, 50000, 115.409546 , 62.051819 , 0.033020 , 0.000000 ,  4.67961 
C#, oddevensort_50000.sh, 50000, 115.802673 , 62.329590 , 0.045349 , 0.000000 ,  4.68628 
C#, oddevensort_50000.sh, 50000, 115.802490 , 62.213074 , 0.034729 , 0.000000 ,  4.6997 
C#, oddevensort_50000.sh, 50000, 114.989563 , 61.798767 , 0.039246 , 0.000000 ,  4.66254 
C#, quicksort_50000.sh, 50000, 0.829224 , 0.393494 , 0.011902 , 0.000000 ,  0.037501 
C#, quicksort_50000.sh, 50000, 0.873657 , 0.462280 , 0.000000 , 0.000000 ,  0.035994 
C#, quicksort_50000.sh, 50000, 0.820374 , 0.377441 , 0.000000 , 0.000000 ,  0.037675 
C#, quicksort_50000.sh, 50000, 0.609253 , 0.319763 , 0.000000 , 0.000000 ,  0.026593 
C#, quicksort_50000.sh, 50000, 0.633118 , 0.295654 , 0.000000 , 0.000000 ,  0.028647 
C#, selectionsort_50000.sh, 50000, 42.724609 , 22.897644 , 0.017578 , 0.000000 ,  1.73975 
C#, selectionsort_50000.sh, 50000, 42.911072 , 23.083252 , 0.016479 , 0.000000 ,  1.73557 
C#, selectionsort_50000.sh, 50000, 42.646790 , 22.890930 , 0.013977 , 0.000000 ,  1.73083 
C#, selectionsort_50000.sh, 50000, 42.877563 , 23.038818 , 0.017273 , 0.000000 ,  1.7371 
C#, selectionsort_50000.sh, 50000, 42.831055 , 23.067871 , 0.009705 , 0.000000 ,  1.73435 
Go, bubblesort_50000, 50000, 85.210571 , 45.471375 , 0.050232 , 0.000000 ,  3.48033 
Go, bubblesort_50000, 50000, 85.696411 , 46.054443 , 0.026855 , 0.000000 ,  3.47523 
Go, bubblesort_50000, 50000, 85.608704 , 46.041443 , 0.026123 , 0.000000 ,  3.46857 
Go, bubblesort_50000, 50000, 85.646790 , 45.907654 , 0.028931 , 0.000000 ,  3.47949 
Go, bubblesort_50000, 50000, 85.942200 , 46.254639 , 0.033752 , 0.000000 ,  3.47523 
Go, cyclesort_50000, 50000, 138.460022 , 74.149597 , 0.068420 , 0.000000 ,  5.63339 
Go, cyclesort_50000, 50000, 137.708069 , 73.412231 , 0.037292 , 0.000000 ,  5.63898 
Go, cyclesort_50000, 50000, 137.914001 , 73.622925 , 0.047974 , 0.000000 ,  5.63465 
Go, cyclesort_50000, 50000, 137.758423 , 73.615356 , 0.032410 , 0.000000 ,  5.62876 
Go, cyclesort_50000, 50000, 137.610107 , 73.264832 , 0.049500 , 0.000000 ,  5.64005 
Go, heapsort_50000, 50000, 0.248108 , 0.123352 , 0.010437 , 0.000000 ,  0.010185 
Go, heapsort_50000, 50000, 0.217712 , 0.115173 , 0.001709 , 0.000000 ,  0.009166 
Go, heapsort_50000, 50000, 0.216370 , 0.114075 , 0.000610 , 0.000000 ,  0.00906 
Go, heapsort_50000, 50000, 0.213196 , 0.112915 , 0.000000 , 0.000000 ,  0.009104 
Go, heapsort_50000, 50000, 0.227234 , 0.105225 , 0.000000 , 0.000000 ,  0.009044 
Go, insertionsort_50000, 50000, 9.787354 , 5.257324 , 0.023621 , 0.000000 ,  0.393808 
Go, insertionsort_50000, 50000, 9.188293 , 4.959839 , 0.000000 , 0.000000 ,  0.372508 
Go, insertionsort_50000, 50000, 9.543640 , 5.139587 , 0.002258 , 0.000000 ,  0.38589 
Go, insertionsort_50000, 50000, 9.748291 , 5.222961 , 0.007874 , 0.000000 ,  0.394953 
Go, insertionsort_50000, 50000, 9.411255 , 5.077637 , 0.000000 , 0.000000 ,  0.379377 
Go, mergesort_50000, 50000, 0.348389 , 0.184753 , 0.007812 , 0.000000 ,  0.014416 
Go, mergesort_50000, 50000, 0.331055 , 0.153320 , 0.001282 , 0.000000 ,  0.015116 
Go, mergesort_50000, 50000, 0.274170 , 0.117859 , 0.000000 , 0.000000 ,  0.014544 
Go, mergesort_50000, 50000, 0.241516 , 0.107483 , 0.000000 , 0.000000 ,  0.011746 
Go, mergesort_50000, 50000, 0.258667 , 0.137939 , 0.000000 , 0.000000 ,  0.00975 
Go, oddevensort_50000, 50000, 53.074951 , 28.426147 , 0.037048 , 0.000000 ,  2.1552 
Go, oddevensort_50000, 50000, 53.037354 , 28.597473 , 0.020508 , 0.000000 ,  2.14078 
Go, oddevensort_50000, 50000, 52.410767 , 28.245911 , 0.017883 , 0.000000 ,  2.1198 
Go, oddevensort_50000, 50000, 53.262390 , 28.679138 , 0.013245 , 0.000000 ,  2.15485 
Go, oddevensort_50000, 50000, 53.113037 , 28.584290 , 0.016418 , 0.000000 ,  2.15197 
Go, quicksort_50000, 50000, 0.198303 , 0.106506 , 0.000000 , 0.000000 ,  0.007818 
Go, quicksort_50000, 50000, 0.212158 , 0.113220 , 0.000000 , 0.000000 ,  0.009201 
Go, quicksort_50000, 50000, 0.235840 , 0.125916 , 0.000000 , 0.000000 ,  0.008509 
Go, quicksort_50000, 50000, 0.236267 , 0.128601 , 0.000000 , 0.000000 ,  0.008673 
Go, quicksort_50000, 50000, 0.212463 , 0.110107 , 0.000000 , 0.000000 ,  0.009007 
Go, selectionsort_50000, 50000, 36.723999 , 19.619202 , 0.033630 , 0.000000 ,  1.49611 
Go, selectionsort_50000, 50000, 36.261963 , 19.519409 , 0.006409 , 0.000000 ,  1.46947 
Go, selectionsort_50000, 50000, 36.284241 , 19.513611 , 0.015198 , 0.000000 ,  1.46863 
Go, selectionsort_50000, 50000, 36.180725 , 19.456543 , 0.009155 , 0.000000 ,  1.46569 
Go, selectionsort_50000, 50000, 36.334778 , 19.411926 , 0.013428 , 0.000000 ,  1.48389 
Haskell, bubblesort_50000, 50000, 0.335571 , 0.134766 , 0.008789 , 0.000000 ,  0.015896 
Haskell, bubblesort_50000, 50000, 0.233032 , 0.061401 , 0.000000 , 0.000000 ,  0.014982 
Haskell, bubblesort_50000, 50000, 0.229980 , 0.058594 , 0.000000 , 0.000000 ,  0.015055 
Haskell, bubblesort_50000, 50000, 0.233887 , 0.048035 , 0.000000 , 0.000000 ,  0.015555 
Haskell, bubblesort_50000, 50000, 0.253601 , 0.035278 , 0.000000 , 0.000000 ,  0.018644 
Haskell, cyclesort_50000, 50000, 1143.541016 , 611.986633 , 0.361572 , 0.000000 ,  46.2295 
Haskell, cyclesort_50000, 50000, 1142.201538 , 612.954651 , 0.338074 , 0.000000 ,  46.0458 
Haskell, cyclesort_50000, 50000, 1162.039429 , 622.580078 , 0.382141 , 0.000000 ,  46.8941 
Haskell, cyclesort_50000, 50000, 1149.432861 , 616.141968 , 0.349915 , 0.000000 ,  46.3348 
Haskell, cyclesort_50000, 50000, 1157.699829 , 619.791504 , 0.359009 , 0.000000 ,  46.7543 
Haskell, heapsort_50000, 50000, 0.208435 , 0.066528 , 0.000000 , 0.000000 ,  0.013494 
Haskell, heapsort_50000, 50000, 0.212036 , 0.066345 , 0.000000 , 0.000000 ,  0.013782 
Haskell, heapsort_50000, 50000, 0.262451 , 0.019287 , 0.001343 , 0.000000 ,  0.020569 
Haskell, heapsort_50000, 50000, 0.260071 , 0.019165 , 0.000000 , 0.000000 ,  0.020548 
Haskell, heapsort_50000, 50000, 0.249573 , 0.020752 , 0.000000 , 0.000000 ,  0.02041 
Haskell, insertionsort_50000, 50000, 0.455872 , 0.065002 , 0.009033 , 0.000000 ,  0.032565 
Haskell, insertionsort_50000, 50000, 0.440857 , 0.088013 , 0.000000 , 0.000000 ,  0.031287 
Haskell, insertionsort_50000, 50000, 0.324585 , 0.134583 , 0.000000 , 0.000000 ,  0.017443 
Haskell, insertionsort_50000, 50000, 0.420105 , 0.188721 , 0.000000 , 0.000000 ,  0.019653 
Haskell, insertionsort_50000, 50000, 0.360535 , 0.167786 , 0.000000 , 0.000000 ,  0.015403 
Haskell, mergesort_50000, 50000, 0.702698 , 0.290771 , 0.009033 , 0.000000 ,  0.035014 
Haskell, mergesort_50000, 50000, 0.750732 , 0.357727 , 0.000000 , 0.000000 ,  0.034079 
Haskell, mergesort_50000, 50000, 0.732117 , 0.343140 , 0.000000 , 0.000000 ,  0.034131 
Haskell, mergesort_50000, 50000, 0.720337 , 0.332458 , 0.000000 , 0.000000 ,  0.034084 
Haskell, mergesort_50000, 50000, 0.791809 , 0.407227 , 0.000000 , 0.000000 ,  0.034068 
Haskell, oddevensort_50000, 50000, 1.373291 , 0.712952 , 0.009399 , 0.000000 ,  0.056356 
Haskell, oddevensort_50000, 50000, 0.759277 , 0.338257 , 0.003357 , 0.000000 ,  0.035628 
Haskell, oddevensort_50000, 50000, 0.859314 , 0.192261 , 0.001160 , 0.000000 ,  0.059845 
Haskell, oddevensort_50000, 50000, 0.769043 , 0.384338 , 0.000000 , 0.000000 ,  0.034283 
Haskell, oddevensort_50000, 50000, 0.746948 , 0.360657 , 0.000000 , 0.000000 ,  0.034027 
Haskell, quicksort_50000, 50000, 0.342529 , 0.151245 , 0.008911 , 0.000000 ,  0.016213 
Haskell, quicksort_50000, 50000, 0.387573 , 0.215942 , 0.000000 , 0.000000 ,  0.014821 
Haskell, quicksort_50000, 50000, 0.364929 , 0.188843 , 0.000000 , 0.000000 ,  0.015024 
Haskell, quicksort_50000, 50000, 0.335571 , 0.144592 , 0.000000 , 0.000000 ,  0.01564 
Haskell, quicksort_50000, 50000, 0.269226 , 0.095947 , 0.000000 , 0.000000 ,  0.014949 
Haskell, selectionsort_50000, 50000, 0.243347 , 0.061768 , 0.008118 , 0.000000 ,  0.015452 
Haskell, selectionsort_50000, 50000, 0.214050 , 0.039429 , 0.001282 , 0.000000 ,  0.014723 
Haskell, selectionsort_50000, 50000, 0.213013 , 0.028748 , 0.000000 , 0.000000 ,  0.015979 
Haskell, selectionsort_50000, 50000, 0.257385 , 0.016602 , 0.000000 , 0.000000 ,  0.020998 
Haskell, selectionsort_50000, 50000, 0.272217 , 0.017700 , 0.002197 , 0.000000 ,  0.021439 
Python, bubblesort_50000.sh, 50000, 2403.122620 , 1294.160461 , 0.759949 , 0.000000 ,  97.0737 
Python, bubblesort_50000.sh, 50000, 2408.456543 , 1297.736633 , 0.712158 , 0.000000 ,  97.2166 
Python, bubblesort_50000.sh, 50000, 2432.205017 , 1310.728577 , 0.743347 , 0.000000 ,  98.1835 
Python, bubblesort_50000.sh, 50000, 2408.532593 , 1297.656006 , 0.757141 , 0.000000 ,  97.2446 
Python, bubblesort_50000.sh, 50000, 2429.517395 , 1310.252991 , 0.751709 , 0.000000 ,  98.0503 
Python, cyclesort_50000.sh, 50000, 3692.150513 , 1984.705383 , 1.113708 , 0.000000 ,  149.496 
Python, cyclesort_50000.sh, 50000, 3741.505188 , 2016.523621 , 1.136536 , 0.000000 ,  151.097 
Python, cyclesort_50000.sh, 50000, 3632.351929 , 1956.859558 , 1.176025 , 0.000000 ,  146.764 
Python, cyclesort_50000.sh, 50000, 3724.749939 , 2006.760193 , 1.100342 , 0.000000 ,  150.438 
Python, cyclesort_50000.sh, 50000, 3653.389771 , 1968.555664 , 1.146484 , 0.000000 ,  147.548 
Python, heapsort_50000.sh, 50000, 6.565857 , 3.286560 , 0.011536 , 0.000000 ,  0.283306 
Python, heapsort_50000.sh, 50000, 6.283813 , 3.341187 , 0.005676 , 0.000000 ,  0.255486 
Python, heapsort_50000.sh, 50000, 6.155823 , 3.306396 , 0.000000 , 0.000000 ,  0.248805 
Python, heapsort_50000.sh, 50000, 6.161804 , 3.285095 , 0.008179 , 0.000000 ,  0.249616 
Python, heapsort_50000.sh, 50000, 6.152649 , 3.311951 , 0.000000 , 0.000000 ,  0.249133 
Python, insertionsort_50000.sh, 50000, 1053.782227 , 567.303101 , 0.350342 , 0.000000 ,  42.6025 
Python, insertionsort_50000.sh, 50000, 1032.232971 , 556.533691 , 0.306641 , 0.000000 ,  41.6792 
Python, insertionsort_50000.sh, 50000, 1037.941101 , 559.818604 , 0.307251 , 0.000000 ,  41.894 
Python, insertionsort_50000.sh, 50000, 1040.662292 , 560.750549 , 0.313354 , 0.000000 ,  42.0399 
Python, insertionsort_50000.sh, 50000, 1078.105225 , 581.366638 , 0.314636 , 0.000000 ,  43.5171 
Python, mergesort_50000.sh, 50000, 5.590088 , 2.946472 , 0.009644 , 0.000000 ,  0.228062 
Python, mergesort_50000.sh, 50000, 5.139526 , 2.732666 , 0.004456 , 0.000000 ,  0.210234 
Python, mergesort_50000.sh, 50000, 5.310730 , 2.792603 , 0.008728 , 0.000000 ,  0.217547 
Python, mergesort_50000.sh, 50000, 5.321899 , 2.847107 , 0.000000 , 0.000000 ,  0.215607 
Python, mergesort_50000.sh, 50000, 5.384460 , 2.885010 , 0.000000 , 0.000000 ,  0.219162 
Python, oddevensort_50000.sh, 50000, 2522.915771 , 1359.386902 , 0.805176 , 0.000000 ,  101.861 
Python, oddevensort_50000.sh, 50000, 2516.264526 , 1356.088379 , 0.747803 , 0.000000 ,  101.624 
Python, oddevensort_50000.sh, 50000, 2531.384521 , 1364.611511 , 0.771118 , 0.000000 ,  102.196 
Python, oddevensort_50000.sh, 50000, 2577.465332 , 1389.239502 , 0.806580 , 0.000000 ,  104.064 
Python, oddevensort_50000.sh, 50000, 2546.353333 , 1373.225891 , 0.802307 , 0.000000 ,  102.782 
Python, quicksort_50000.sh, 50000, 1.133362 , 0.471802 , 0.013733 , 0.000000 ,  0.056192 
Python, quicksort_50000.sh, 50000, 0.504822 , 0.255981 , 0.007507 , 0.000000 ,  0.022434 
Python, quicksort_50000.sh, 50000, 0.516541 , 0.262939 , 0.007751 , 0.000000 ,  0.022453 
Python, quicksort_50000.sh, 50000, 0.496704 , 0.237549 , 0.007324 , 0.000000 ,  0.02185 
Python, quicksort_50000.sh, 50000, 0.510620 , 0.253052 , 0.006592 , 0.000000 ,  0.022086 
Python, selectionsort_50000.sh, 50000, 1131.707092 , 609.121216 , 0.396484 , 0.000000 ,  45.7172 
Python, selectionsort_50000.sh, 50000, 1122.013489 , 604.348755 , 0.332336 , 0.000000 ,  45.3151 
Python, selectionsort_50000.sh, 50000, 1115.527710 , 602.137024 , 0.337891 , 0.000000 ,  44.9746 
Python, selectionsort_50000.sh, 50000, 1116.644470 , 601.368286 , 0.322327 , 0.000000 ,  45.1268 
Python, selectionsort_50000.sh, 50000, 1173.557251 , 632.455750 , 0.369446 , 0.000000 ,  47.3569 
Rust, bubblesort_50000, 50000, 96.223511 , 51.269836 , 0.046631 , 0.000000 ,  3.9366 
Rust, bubblesort_50000, 50000, 97.100220 , 51.666687 , 0.032959 , 0.000000 ,  3.98081 
Rust, bubblesort_50000, 50000, 97.186646 , 51.918518 , 0.033875 , 0.000000 ,  3.96434 
Rust, bubblesort_50000, 50000, 97.096130 , 51.927246 , 0.030945 , 0.000000 ,  3.95812 
Rust, bubblesort_50000, 50000, 96.756226 , 51.758362 , 0.040100 , 0.000000 ,  3.94293 
Rust, cyclesort_50000, 50000, 23.142212 , 12.429443 , 0.009277 , 0.000000 ,  0.93751 
Rust, cyclesort_50000, 50000, 22.758789 , 12.273193 , 0.006287 , 0.000000 ,  0.919883 
Rust, cyclesort_50000, 50000, 23.007019 , 12.293823 , 0.008606 , 0.000000 ,  0.937637 
Rust, cyclesort_50000, 50000, 23.015259 , 12.379517 , 0.012268 , 0.000000 ,  0.931115 
Rust, cyclesort_50000, 50000, 22.931946 , 12.359253 , 0.005920 , 0.000000 ,  0.925466 
Rust, heapsort_50000, 50000, 0.224976 , 0.123474 , 0.008606 , 0.000000 ,  0.009909 
Rust, heapsort_50000, 50000, 0.211975 , 0.110535 , 0.002380 , 0.000000 ,  0.009304 
Rust, heapsort_50000, 50000, 0.197754 , 0.112610 , 0.001648 , 0.000000 ,  0.008778 
Rust, heapsort_50000, 50000, 0.213562 , 0.110168 , 0.000000 , 0.000000 ,  0.008727 
Rust, heapsort_50000, 50000, 0.218994 , 0.114502 , 0.000000 , 0.000000 ,  0.008673 
Rust, insertionsort_50000, 50000, 10.875122 , 5.800781 , 0.023926 , 0.000000 ,  0.440613 
Rust, insertionsort_50000, 50000, 10.724182 , 5.768799 , 0.000000 , 0.000000 ,  0.434471 
Rust, insertionsort_50000, 50000, 10.515015 , 5.654053 , 0.010437 , 0.000000 ,  0.424781 
Rust, insertionsort_50000, 50000, 10.491089 , 5.647949 , 0.005188 , 0.000000 ,  0.423424 
Rust, insertionsort_50000, 50000, 10.694092 , 5.780029 , 0.000000 , 0.000000 ,  0.431739 
Rust, mergesort_50000, 50000, 0.332764 , 0.158936 , 0.011047 , 0.000000 ,  0.01402 
Rust, mergesort_50000, 50000, 0.229309 , 0.112000 , 0.001587 , 0.000000 ,  0.009518 
Rust, mergesort_50000, 50000, 0.220154 , 0.102112 , 0.000000 , 0.000000 ,  0.009331 
Rust, mergesort_50000, 50000, 0.280273 , 0.156921 , 0.000000 , 0.000000 ,  0.01105 
Rust, mergesort_50000, 50000, 0.324158 , 0.177002 , 0.000000 , 0.000000 ,  0.012951 
Rust, oddevensort_50000, 50000, 67.831726 , 36.293701 , 0.039124 , 0.000000 ,  2.76163 
Rust, oddevensort_50000, 50000, 67.949524 , 36.511658 , 0.024414 , 0.000000 ,  2.75585 
Rust, oddevensort_50000, 50000, 68.134216 , 36.751648 , 0.025330 , 0.000000 ,  2.7485 
Rust, oddevensort_50000, 50000, 67.835754 , 36.380859 , 0.019287 , 0.000000 ,  2.75962 
Rust, oddevensort_50000, 50000, 67.731384 , 36.268127 , 0.022278 , 0.000000 ,  2.75523 
Rust, quicksort_50000, 50000, 0.147095 , 0.096252 , 0.000366 , 0.000000 ,  0.006695 
Rust, quicksort_50000, 50000, 0.147522 , 0.071228 , 0.000061 , 0.000000 ,  0.007344 
Rust, quicksort_50000, 50000, 0.155396 , 0.092285 , 0.001526 , 0.000000 ,  0.006677 
Rust, quicksort_50000, 50000, 0.147461 , 0.085938 , 0.000244 , 0.000000 ,  0.006583 
Rust, quicksort_50000, 50000, 0.148438 , 0.087891 , 0.000000 , 0.000000 ,  0.006675 
Rust, selectionsort_50000, 50000, 27.218933 , 14.589417 , 0.022278 , 0.000000 ,  1.10477 
Rust, selectionsort_50000, 50000, 26.715149 , 14.354980 , 0.010254 , 0.000000 ,  1.08256 
Rust, selectionsort_50000, 50000, 26.963806 , 14.459839 , 0.007324 , 0.000000 ,  1.0956 
Rust, selectionsort_50000, 50000, 26.684387 , 14.308838 , 0.006958 , 0.000000 ,  1.08505 
Rust, selectionsort_50000, 50000, 27.322388 , 14.667419 , 0.011719 , 0.000000 ,  1.10806 
Swift, bubblesort_50000, 50000, 136.608826 , 73.408936 , 0.060791 , 0.000000 ,  5.53579 
Swift, bubblesort_50000, 50000, 136.022278 , 73.066772 , 0.055603 , 0.000000 ,  5.51505 
Swift, bubblesort_50000, 50000, 136.322205 , 73.305481 , 0.049438 , 0.000000 ,  5.52485 
Swift, bubblesort_50000, 50000, 137.100830 , 73.695251 , 0.044128 , 0.000000 ,  5.55897 
Swift, bubblesort_50000, 50000, 136.241882 , 73.298279 , 0.039062 , 0.000000 ,  5.52087 
Swift, cyclesort_50000, 50000, 165.515930 , 88.817505 , 0.061707 , 0.000000 ,  6.72405 
Swift, cyclesort_50000, 50000, 165.508911 , 88.807617 , 0.048462 , 0.000000 ,  6.7273 
Swift, cyclesort_50000, 50000, 166.470398 , 89.044373 , 0.054321 , 0.000000 ,  6.78582 
Swift, cyclesort_50000, 50000, 166.525757 , 88.936890 , 0.064819 , 0.000000 ,  6.79881 
Swift, cyclesort_50000, 50000, 165.737122 , 88.440857 , 0.049683 , 0.000000 ,  6.77693 
Swift, heapsort_50000, 50000, 0.367981 , 0.182922 , 0.009216 , 0.000000 ,  0.014875 
Swift, heapsort_50000, 50000, 0.322327 , 0.171265 , 0.000732 , 0.000000 ,  0.012719 
Swift, heapsort_50000, 50000, 0.296875 , 0.170410 , 0.000000 , 0.000000 ,  0.012598 
Swift, heapsort_50000, 50000, 0.297607 , 0.166077 , 0.000000 , 0.000000 ,  0.012432 
Swift, heapsort_50000, 50000, 0.321777 , 0.167725 , 0.000000 , 0.000000 ,  0.012385 
Swift, insertionsort_50000, 50000, 47.841064 , 25.643311 , 0.034729 , 0.000000 ,  1.94445 
Swift, insertionsort_50000, 50000, 47.561157 , 25.647461 , 0.017273 , 0.000000 ,  1.92105 
Swift, insertionsort_50000, 50000, 47.588196 , 25.638672 , 0.018921 , 0.000000 ,  1.92203 
Swift, insertionsort_50000, 50000, 47.490417 , 25.551208 , 0.019653 , 0.000000 ,  1.92099 
Swift, insertionsort_50000, 50000, 48.249451 , 26.002625 , 0.017517 , 0.000000 ,  1.94717 
Swift, mergesort_50000, 50000, 0.689270 , 0.344238 , 0.011353 , 0.000000 ,  0.027249 
Swift, mergesort_50000, 50000, 0.605164 , 0.310059 , 0.000000 , 0.000000 ,  0.026194 
Swift, mergesort_50000, 50000, 0.609924 , 0.308716 , 0.000000 , 0.000000 ,  0.025723 
Swift, mergesort_50000, 50000, 0.622742 , 0.339294 , 0.000000 , 0.000000 ,  0.025076 
Swift, mergesort_50000, 50000, 0.751831 , 0.405762 , 0.000000 , 0.000000 ,  0.029897 
Swift, oddevensort_50000, 50000, 0.154358 , 0.069092 , 0.005188 , 0.000000 ,  0.006971 
Swift, oddevensort_50000, 50000, 0.192749 , 0.109436 , 0.004089 , 0.000000 ,  0.007355 
Swift, oddevensort_50000, 50000, 0.162537 , 0.061584 , 0.000732 , 0.000000 ,  0.007298 
Swift, oddevensort_50000, 50000, 0.148804 , 0.070679 , 0.000427 , 0.000000 ,  0.006989 
Swift, oddevensort_50000, 50000, 0.147400 , 0.061401 , 0.000000 , 0.000000 ,  0.006834 
Swift, quicksort_50000, 50000, 0.939453 , 0.413757 , 0.009033 , 0.000000 ,  0.045046 
Swift, quicksort_50000, 50000, 0.858337 , 0.458801 , 0.000000 , 0.000000 ,  0.03504 
Swift, quicksort_50000, 50000, 1.115479 , 0.591125 , 0.005310 , 0.000000 ,  0.046335 
Swift, quicksort_50000, 50000, 0.863770 , 0.469299 , 0.000000 , 0.000000 ,  0.035294 
Swift, quicksort_50000, 50000, 1.087891 , 0.562805 , 0.000000 , 0.000000 ,  0.04621 
Swift, selectionsort_50000, 50000, 27.755127 , 14.809204 , 0.021667 , 0.000000 ,  1.1308 
Swift, selectionsort_50000, 50000, 27.837463 , 14.942505 , 0.008423 , 0.000000 ,  1.12866 
Swift, selectionsort_50000, 50000, 27.901062 , 14.990479 , 0.008118 , 0.000000 ,  1.13213 
Swift, selectionsort_50000, 50000, 27.864624 , 14.898621 , 0.009338 , 0.000000 ,  1.136 
Swift, selectionsort_50000, 50000, 27.818970 , 14.953918 , 0.007874 , 0.000000 ,  1.12656 
C, bubblesort_100000, 100000, 566.579895 , 299.870300 , 0.220215 , 0.000000 ,  23.3684 
C, bubblesort_100000, 100000, 565.386475 , 299.366455 , 0.191345 , 0.000000 ,  23.3119 
C, bubblesort_100000, 100000, 567.788086 , 301.011169 , 0.221863 , 0.000000 ,  23.369 
C, bubblesort_100000, 100000, 567.223206 , 300.785339 , 0.197205 , 0.000000 ,  23.355 
C, bubblesort_100000, 100000, 566.236145 , 299.837646 , 0.194885 , 0.000000 ,  23.3423 
C, cyclesort_100000, 100000, 552.642273 , 291.611328 , 0.181091 , 0.000000 ,  22.8837 
C, cyclesort_100000, 100000, 558.064453 , 296.209656 , 0.189453 , 0.000000 ,  22.9493 
C, cyclesort_100000, 100000, 557.188232 , 294.875183 , 0.203064 , 0.000000 ,  22.9874 
C, cyclesort_100000, 100000, 554.343689 , 291.760681 , 0.179138 , 0.000000 ,  23.0226 
