Algorithm,Language,Size,Package,Core(s),GPU,Memory(KB),Time(sec)
heapsort,Python,25000,3.243213,1.7150390000000002,0.0095704,32780.0,0.1312056
heapsort,Python,50000,6.181628399999999,3.300769,0.010791,51560.0,0.2502266
heapsort,Python,100000,12.7020996,6.7983152,0.0124634,93740.8,0.5133556
heapsort,Rust,25000,0.1478758,0.0756468,0.0044678,3660.0,0.006717000000000001
heapsort,Rust,50000,0.2906862,0.149182,0.0060182,3635.2,0.0123648
heapsort,Rust,100000,0.5128784,0.259497,0.004638399999999999,3532.0,0.021149599999999998
heapsort,Swift,25000,0.262561,0.12825899999999998,0.0058471999999999994,10790.4,0.0112286
heapsort,Swift,50000,0.3352294,0.172705,0.004821799999999999,11316.0,0.014343400000000001
heapsort,Swift,100000,0.6181762,0.321521,0.0046752,12621.6,0.026195200000000002
insertionsort,C,25000,1.5808959999999999,0.819458,0.009264999999999999,3571.2,0.06564099999999999
insertionsort,C,50000,5.9563353999999995,3.191272,0.0070312,3603.2,0.24053680000000002
insertionsort,C,100000,23.675182999999997,12.739612,0.012952,3648.0,0.9591092
insertionsort,C#,25000,9.879394600000001,5.2918946,0.013403199999999999,21154.4,0.400706
insertionsort,C#,50000,37.358728,20.0229738,0.026196399999999998,20335.2,1.518426
insertionsort,C#,100000,147.973596,79.713513,0.062671,21449.6,5.98031
insertionsort,C++,25000,1.802722,0.931311,0.0099974,3840.0,0.074852
insertionsort,C++,50000,7.0162964,3.7503295999999997,0.007653599999999999,4153.6,0.28549579999999997
insertionsort,C++,100000,27.6564576,14.871789799999998,0.010107399999999999,4454.4,1.121002
insertionsort,Go,25000,2.4826416,1.3033934,0.0097536,3558.4,0.101687
insertionsort,Go,50000,9.447937,5.0557984000000005,0.0109496,3660.8,0.3834514
insertionsort,Go,100000,38.5243042,20.740918,0.0185302,5868.0,1.558328
insertionsort,Haskell,25000,0.13231199999999999,0.0533814,0.0035519999999999996,6489.6,0.0062308
insertionsort,Haskell,50000,0.2063478,0.0622438,0.0048952,9612.8,0.0119584
insertionsort,Haskell,100000,0.3304808,0.1553222,0.0049682,17049.6,0.014166000000000002
insertionsort,Python,25000,258.86215819999995,139.5700194,0.0913698,32601.6,10.45736
insertionsort,Python,50000,1050.3710574000002,566.383911,0.3425294,51596.8,42.4152
insertionsort,Python,100000,4279.5224488,2304.3433836,1.34646,93695.2,172.874
insertionsort,Rust,25000,3.2017575999999996,1.6953856000000003,0.007312000000000001,3660.8,0.13091619999999998
insertionsort,Rust,50000,10.6378176,5.713696199999999,0.0104858,3673.6,0.4308922
insertionsort,Rust,100000,48.175171,25.8663452,0.0231566,3584.0,1.95473
insertionsort,Swift,25000,12.0527102,6.464135400000001,0.014099400000000002,10633.6,0.4894484
insertionsort,Swift,50000,47.5446656,25.697985799999998,0.0202392,11009.6,1.915092
insertionsort,Swift,100000,189.4713622,102.1153808,0.062793,11795.2,7.661593999999999
mergesort,C,25000,0.12259519999999999,0.06738279999999999,0.0036131999999999996,3584.0,0.005445
mergesort,C,50000,0.1927246,0.0957032,0.0059326,3571.2,0.0077948
mergesort,C,100000,0.39344480000000004,0.1922728,0.006323,3584.0,0.0164146
mergesort,C#,25000,0.6515259999999999,0.321411,0.0076901999999999995,23582.4,0.028373
mergesort,C#,50000,0.9310547999999998,0.44185800000000003,0.0070431999999999995,26227.2,0.041599199999999996
mergesort,C#,100000,1.1088502,0.5360842,0.006152199999999999,26202.4,0.0486414
mergesort,C++,25000,0.23862299999999997,0.12189939999999999,0.005322599999999999,3912.0,0.009611600000000001
mergesort,C++,50000,0.3531248,0.176538,0.007495,4130.4,0.014977200000000001
mergesort,C++,100000,0.4565918,0.2286744,0.0057982,4808.0,0.0193782
mergesort,Go,25000,0.1887818,0.0879514,0.0049806,7583.2,0.007447199999999999
mergesort,Go,50000,0.2901244,0.12410879999999999,0.0062012,8495.2,0.0137816
mergesort,Go,100000,0.420276,0.2007448,0.0066038,10196.0,0.0182482
mergesort,Haskell,25000,0.3587402,0.1565308,0.006078999999999999,10483.2,0.016916999999999998
mergesort,Haskell,50000,0.6656616,0.33416759999999995,0.0079956,14080.0,0.0279916
mergesort,Haskell,100000,1.406006,0.7073119999999999,0.0084958,21696.0,0.059031
mergesort,Python,25000,2.9036986,1.5300048,0.007226399999999999,32780.0,0.11832519999999999
mergesort,Python,50000,5.307019200000001,2.7999997999999997,0.010315,51532.0,0.21723240000000002
mergesort,Python,100000,10.609680399999998,5.6593016,0.012439,93711.2,0.43039459999999996
mergesort,Rust,25000,0.1698486,0.0798462,0.0046873999999999996,3686.4,0.006572
mergesort,Rust,50000,0.2535888,0.1213988,0.0068358,3558.4,0.0100726
mergesort,Rust,100000,0.45783699999999994,0.209192,0.0046384,3758.4,0.020781
mergesort,Swift,25000,0.3915282,0.1937254,0.0073606,11043.2,0.0162998
mergesort,Swift,50000,0.7671388,0.3846314,0.008203,11804.0,0.0326004
mergesort,Swift,100000,1.3409179999999998,0.6930419999999999,0.0053100000000000005,13298.4,0.0558182
oddevensort,C,25000,12.979955999999998,6.914905,0.0096924,3660.8,0.530757
oddevensort,C,50000,54.47351080000001,29.2367434,0.0231934,3571.2,2.21239
oddevensort,C,100000,223.22940680000002,119.9273926,0.0794676,3545.6,9.060504
oddevensort,C#,25000,28.678539999999998,15.4318118,0.013122600000000002,21556.8,1.160928
oddevensort,C#,50000,115.4351686,62.080090199999994,0.047924800000000004,22144.0,4.676336
oddevensort,C#,100000,463.27460959999996,249.50439459999998,0.15982659999999999,20974.4,18.74792
oddevensort,C++,25000,12.215161,6.513964799999999,0.013439999999999999,3897.6,0.4980594
oddevensort,C++,50000,53.871264599999996,28.882483,0.0244628,4056.8,2.1900039999999996
oddevensort,C++,100000,224.9960696,120.8993164,0.0796876,4296.0,9.129906
oddevensort,Go,25000,11.1744262,5.9929322,0.0070314,3609.6,0.4535846
oddevensort,Go,50000,52.65229480000001,28.29209,0.0213136,3584.0,2.135768
oddevensort,Go,100000,0.10338119999999999,0.035205,0.0032960000000000003,5868.0,0.0056368
oddevensort,Haskell,25000,0.4359986,0.19407960000000002,0.0064084,10480.8,0.020057600000000002
oddevensort,Haskell,50000,0.7565676,0.36593,0.007531599999999999,14643.2,0.0325776
oddevensort,Haskell,100000,1.3828369999999999,0.7109864,0.0082398,20966.4,0.0568392
oddevensort,Python,25000,620.3106202,334.870752,0.19948739999999998,32788.0,25.02526
oddevensort,Python,50000,2535.2983886,1366.6544802,0.7991334,51556.0,102.3446
oddevensort,Python,100000,11035.797156,5926.7576904,3.4091186,93688.0,445.7948
oddevensort,Rust,25000,16.00448,8.5553836,0.014599599999999999,3609.6,0.6521891999999999
