Language,Algorithm,Size,Package,Core(s),GPU,Memory(KB),Time(sec)
C,bubblesort,25000,2.486145,1.185303,0.089722,38432,0.103396
C,cyclesort,25000,2.774719,1.273682,0.040527,38456,0.126602
C,heapsort,25000,2.406372,1.197510,0.035583,37228,0.099023
C,insertionsort,25000,2.607605,1.090698,0.141296,37544,0.117035
C,mergesort,25000,2.927551,1.469421,0.037415,39556,0.12174
C,oddevensort,25000,2.581055,1.292297,0.035583,38508,0.106724
C,quicksort,25000,2.829590,1.385864,0.045105,38184,0.118055
C,selectionsort,25000,2.539612,1.252930,0.042908,38044,0.105628
C++,bubblesort,25000,24.720947,7.209595,0.048401,84940,1.50803
C++,cyclesort,25000,11.838379,6.212219,0.041931,85132,0.481971
C++,heapsort,25000,11.685547,6.079834,0.050720,85064,0.477156
C++,insertionsort,25000,11.422363,5.925903,0.034485,84984,0.470927
C++,mergesort,25000,12.629578,6.446106,0.118835,87020,0.523897
C++,oddevensort,25000,11.836426,6.205139,0.044800,85420,0.482218
C++,quicksort,25000,11.638855,5.863037,0.137695,84764,0.48673
C++,selectionsort,25000,11.696716,6.136841,0.046387,85168,0.476127
C#,bubblesort,25000,44.112366,10.998962,0.049255,64988,2.86642
C#,cyclesort,25000,12.628296,6.670715,0.033264,65432,0.511842
C#,heapsort,25000,12.738831,6.661865,0.036438,63248,0.521747
C#,insertionsort,25000,12.828918,6.764587,0.034180,69144,0.522619
C#,mergesort,25000,12.992676,6.634583,0.127930,67464,0.539141
C#,oddevensort,25000,12.667725,6.764771,0.003479,67512,0.511278
C#,quicksort,25000,12.939880,6.859253,0.034424,65508,0.521835
C#,selectionsort,25000,12.663269,6.786011,0.000000,63472,0.509128
Go,bubblesort,25000,26.799133,4.388000,0.038269,56556,1.93362
Go,cyclesort,25000,3.694336,1.825989,0.032715,54908,0.155945
Go,heapsort,25000,4.301453,1.765259,0.031982,54740,0.213307
Go,insertionsort,25000,4.428833,1.583435,0.031616,56824,0.240024
Go,mergesort,25000,4.405273,1.573181,0.023010,57100,0.240371
Go,oddevensort,25000,4.408997,1.703613,0.051453,55668,0.227695
Go,quicksort,25000,3.943054,1.733398,0.032593,56516,0.184098
Go,selectionsort,25000,3.954224,1.509216,0.021790,57876,0.208252
Haskell,bubblesort,25000,337.532715,163.063660,0.157654,631412,14.8196
Haskell,cyclesort,25000,584.245972,303.960938,0.172974,731108,23.7327
Haskell,heapsort,25000,309.526855,160.868530,0.142822,642272,12.5923
Haskell,insertionsort,25000,309.729431,160.947144,0.169800,580000,12.5995
Haskell,mergesort,25000,309.787292,160.173645,0.149292,600028,12.6675
Haskell,oddevensort,25000,289.015625,151.300842,0.140930,682528,11.6609
Haskell,quicksort,25000,306.340637,160.093384,0.093628,594004,12.393
Haskell,selectionsort,25000,317.320557,165.100952,0.157898,642600,12.8769
Rust,bubblesort,25000,258.182983,123.072510,0.158020,1074960,11.5822
Rust,cyclesort,25000,229.534607,121.222473,0.093628,1076060,9.27268
Rust,heapsort,25000,233.383423,123.110535,0.133606,1085192,9.43594
Rust,insertionsort,25000,234.409729,123.816345,0.093994,1080492,9.46728
