Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
heapsort,Haskell,100000,0.0868528,0.0333862,0.0033201999999999997,3.4816000000000003,0.0046018000000000005
heapsort,Python,25000,3.2000121999999998,1.3108644,0.0090452,32.812,0.16345300000000001
heapsort,Python,50000,5.9651978,2.511487,0.0093018,51.58480000000001,0.3000136
heapsort,Python,100000,12.277771,5.0875366,0.026501399999999998,93.74159999999999,0.6182596
heapsort,Rust,25000,0.2035158,0.0767334,0.0052736,3.5832,0.010723
heapsort,Rust,50000,0.21813980000000002,0.0832886,0.005188,3.7120000000000006,0.0111736
heapsort,Rust,100000,0.5148436000000001,0.20393080000000002,0.0081298,3.7120000000000006,0.0261604
heapsort,Swift,25000,0.25054919999999997,0.09749719999999999,0.005359,10.8096,0.012746200000000003
heapsort,Swift,50000,0.3084594,0.1084474,0.0059204,11.3368,0.0168218
heapsort,Swift,100000,0.5197754,0.210913,0.0063842,12.6464,0.0263866
insertionsort,C,25000,1.4881838,0.6213622,0.0064944,3.6864000000000003,0.07522100000000001
insertionsort,C,50000,5.7757933999999995,2.4219604,0.008202999999999998,3.5168,0.293397
insertionsort,C,100000,23.196044800000003,9.8780518,0.0189574,3.6608000000000005,1.1661959999999998
insertionsort,C#,25000,9.5184326,4.0293214,0.0127442,21.9072,0.48003439999999997
insertionsort,C#,50000,36.381579599999995,15.4791014,0.022289999999999997,22.14,1.830752
insertionsort,C#,100000,145.7951293,70.4491759,0.0610291,21.6436,6.601864999999999
insertionsort,C++,25000,1.7521727999999999,0.72854,0.009179799999999998,3.8592,0.0882918
insertionsort,C++,50000,6.7991817999999995,2.8841308,0.0099974,4.099200000000001,0.3422526
insertionsort,C++,100000,27.0591188,11.5078124,0.0196046,4.512,1.36281
insertionsort,Go,25000,2.5052,1.0440918,0.0089476,4.9792000000000005,0.12683119999999998
insertionsort,Go,50000,9.2410888,3.9088746,0.012378,3.7120000000000006,0.4664426
insertionsort,Go,100000,37.61156,16.030407599999997,0.027234,4.5792,1.890174
insertionsort,Haskell,25000,0.1804442,0.061487,0.005298,6.5920000000000005,0.0094096
insertionsort,Haskell,50000,0.1617064,0.0602294,0.0047122,9.664,0.0084674
insertionsort,Haskell,100000,0.2815066,0.10175779999999998,0.006078999999999999,17.1768,0.0149834
insertionsort,Python,25000,254.31276859999997,108.5425416,0.0986086,32.608,12.77586
insertionsort,Python,50000,1022.2666992000001,436.1939208,0.3373658,51.6024,51.36752
insertionsort,Python,100000,4193.7362182,1781.9006957999998,1.210559,93.676,210.7226
insertionsort,Rust,25000,3.0688478,1.2880372,0.0085814,3.5840000000000005,0.15476700000000002
insertionsort,Rust,50000,10.3152224,4.3729248,0.0121338,3.6480000000000006,0.5192304
insertionsort,Rust,100000,46.787109400000006,19.9312498,0.023400999999999998,3.6096000000000004,2.3547819999999997
insertionsort,Swift,25000,11.756775000000001,5.0069702,0.010034200000000002,10.672,0.5905929999999999
