Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
Haskell,bubblesort,25000,284.863647,116.434387,0.184998,632.864,14.3126
Haskell,cyclesort,25000,545.506348,222.649414,0.165344,685.424,27.4144
Haskell,heapsort,25000,292.289368,119.217163,0.173950,636.728,14.7073
Haskell,insertionsort,25000,283.518372,115.720276,0.162170,671.216,14.2473
Haskell,mergesort,25000,287.273743,117.109863,0.132385,627.04,14.4415
Haskell,oddevensort,25000,269.899475,110.117310,0.132935,610.848,13.5739
Haskell,quicksort,25000,286.415405,116.975830,0.119446,602.784,14.3942
Haskell,selectionsort,25000,301.417908,122.539185,0.156860,666.992,15.1824
Rust,bubblesort,25000,216.106934,89.427795,0.143433,1084.052,10.8558
Rust,cyclesort,25000,218.624756,90.436401,0.085144,1084.26,10.9883
Rust,heapsort,25000,211.958252,87.773315,0.088562,1078.544,10.6483
Rust,insertionsort,25000,222.724609,92.217224,0.113464,1082.872,11.1894
Rust,mergesort,25000,212.947754,88.147217,0.140076,1109.56,10.6953
Rust,oddevensort,25000,222.795288,93.181885,0.107605,1082.784,11.1932
Rust,quicksort,25000,208.520386,87.556641,0.098511,1090.968,10.4789
Rust,selectionsort,25000,220.307617,92.467834,0.109375,1072.464,11.071
Swift,bubblesort,25000,326.776062,138.812256,0.123047,144.152,16.4085
Swift,cyclesort,25000,323.014221,137.148132,0.126587,143.576,16.2343
Swift,heapsort,25000,348.302551,147.856506,0.143799,147.348,17.4961
Swift,insertionsort,25000,329.831787,139.934998,0.144958,144.392,16.5765
Swift,mergesort,25000,356.383911,151.317078,0.133301,145.352,17.9077
Swift,oddevensort,25000,323.110291,137.214783,0.128113,143.892,16.2382
Swift,quicksort,25000,342.246460,145.301208,0.142456,145.268,17.2001
Swift,selectionsort,25000,328.402039,139.446350,0.141907,144.34,16.4969
C,bubblesort,25000,2.168945,0.724121,0.016296,38.376,0.125613
C,cyclesort,25000,2.628662,1.094055,0.016174,38.4,0.131988
C,heapsort,25000,1.998291,0.813232,0.015442,37.296,0.102456
C,insertionsort,25000,2.338867,0.963501,0.014465,37.424,0.117412
C,mergesort,25000,2.605774,1.048523,0.017578,39.628,0.134038
C,oddevensort,25000,2.341919,0.966125,0.016052,38.592,0.117704
C,quicksort,25000,3.045532,1.132263,0.029785,38.324,0.164776
C,selectionsort,25000,2.001770,0.756287,0.013672,37.932,0.10856
C++,bubblesort,25000,10.928223,4.519165,0.011414,85.756,0.55813
C++,cyclesort,25000,11.236328,4.730347,0.024658,85.328,0.564471
C++,heapsort,25000,11.197632,4.730408,0.017700,85.444,0.563075
C++,insertionsort,25000,10.858582,4.535400,0.024475,84.608,0.548171
C++,mergesort,25000,11.873291,5.002258,0.018921,87.112,0.597726
C++,oddevensort,25000,11.132324,4.734985,0.015442,85.78,0.558525
