Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
bubblesort,C,25000,2.5160625,0.9426473333333334,0.028777999999999998,38.326,0.134245
bubblesort,C,50000,2.7788188333333337,1.1081035000000001,0.017496666666666667,42.92466666666667,0.1441995
bubblesort,C,100000,4.79565425,1.984253,0.01622,51.939,0.2445755
bubblesort,C#,25000,17.330352833333333,5.740844666666667,0.034993833333333335,65.23,1.0043143333333333
bubblesort,C#,50000,13.026377166666668,5.501078333333333,0.013020833333333334,69.12533333333333,0.6566766666666667
bubblesort,C#,100000,14.588846666666667,6.142679666666666,0.02054866666666667,70.84,0.7350003333333334
bubblesort,C++,25000,13.129242166666666,4.801798499999999,0.036733,85.406,0.7192296666666667
bubblesort,C++,50000,12.173543333333333,5.126119,0.021769333333333335,99.44599999999998,0.612292
bubblesort,C++,100000,14.570388999999999,6.112655999999999,0.02500925,115.338,0.73493125
bubblesort,Go,25000,7.180328333333333,1.8055725,0.027893166666666667,56.21533333333333,0.46192816666666664
bubblesort,Go,50000,3.588745166666667,1.3666788333333333,0.011515333333333334,56.187333333333335,0.190589
bubblesort,Go,100000,3.8878986666666666,1.3594359999999999,0.009786000000000001,57.36666666666667,0.21800466666666665
bubblesort,Haskell,25000,310.98321533333336,120.69983933333333,0.16422533333333333,617.504,16.311783333333334
bubblesort,Haskell,50000,563.702006,233.58758550000002,0.22663366666666665,1070.988,28.337483333333335
bubblesort,Haskell,100000,1126.3557126666667,466.37921166666666,0.4366863333333333,1794.390666666667,56.61846666666667
bubblesort,Rust,25000,230.62229433333334,91.132721,0.1174215,1083.5773333333334,12.043349999999998
bubblesort,Rust,50000,447.32591733333334,187.676066,0.1950886666666667,2170.8520000000003,22.47498333333333
bubblesort,Rust,100000,888.8155316666666,372.54842133333335,0.36505133333333334,4325.345333333334,44.6552
bubblesort,Swift,25000,341.7838133333333,140.91086833333333,0.1248575,143.97066666666666,17.501266666666666
bubblesort,Swift,50000,1156.5278115,491.6131286666667,0.39283266666666666,229.65533333333335,58.114666666666665
bubblesort,Swift,100000,291.22749799999997,120.61391166666665,0.13470466666666667,378.09999999999997,14.6897
cyclesort,C,25000,2.5704956666666665,0.9652708333333333,0.052662999999999995,38.568,0.134519
cyclesort,C,50000,3.5925395000000004,1.4923705,0.0152995,43.394666666666666,0.18129666666666666
cyclesort,C,100000,5.18110675,2.1272124999999997,0.0203095,52.414,0.26465775
cyclesort,C#,25000,12.522420333333335,5.2412106666666665,0.027374166666666668,63.99533333333333,0.6322163333333334
cyclesort,C#,50000,13.206217166666667,5.584238666666667,0.011566166666666667,66.75666666666666,0.6656986666666667
cyclesort,C#,100000,14.657369000000001,6.181620333333334,0.019348333333333332,72.12133333333333,0.738632
cyclesort,C++,25000,11.213877333333334,4.676676666666666,0.03127033333333334,85.49066666666666,0.56432
cyclesort,C++,50000,12.185638500000001,5.1338805,0.024403833333333333,99.03866666666666,0.613134
cyclesort,C++,100000,14.879043750000001,6.27023325,0.02162175,114.97399999999999,0.74993
cyclesort,Go,25000,3.5073546666666666,1.2819313333333333,0.031077000000000004,55.48266666666667,0.18917683333333335
