Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
Rust,insertionsort,25000,234.409729,123.816345,0.093994,1080.492,9.46728
Rust,mergesort,25000,227.086914,119.806885,0.088745,1098.6,9.18589
Rust,oddevensort,25000,228.819153,120.779663,0.091309,1088.156,9.24435
Rust,quicksort,25000,231.700928,123.211914,0.065979,1092.488,9.29273
Rust,selectionsort,25000,229.062927,120.435425,0.099426,1072.524,9.30442
Swift,bubblesort,25000,371.185059,189.376770,0.218018,142.852,15.6797
Swift,cyclesort,25000,352.756348,186.787109,0.109009,143.368,14.3282
Swift,heapsort,25000,360.003174,189.566711,0.123779,147.508,14.7119
Swift,insertionsort,25000,337.270264,178.718445,0.086060,144.268,13.6894
Swift,mergesort,25000,361.249084,191.474976,0.150574,145.54,14.6462
Swift,oddevensort,25000,352.235657,186.612671,0.089417,143.932,14.3033
Swift,quicksort,25000,360.080017,190.204712,0.106384,145.264,14.6639
Swift,selectionsort,25000,351.293152,185.911133,0.115723,144.116,14.2745
C,bubblesort,25000,2.420959,1.206909,0.030518,38.32,0.100301
C,cyclesort,25000,2.769470,1.356445,0.041748,38.584,0.116361
C,heapsort,25000,2.508423,1.269653,0.037354,37.552,0.102634
C,insertionsort,25000,2.586365,1.174133,0.039673,37.304,0.116627
C,mergesort,25000,2.988831,1.509338,0.039062,39.448,0.124037
C,oddevensort,25000,2.631592,1.257874,0.030090,38.592,0.114692
C,quicksort,25000,2.876221,1.363525,0.045349,38.324,0.124514
C,selectionsort,25000,2.780762,1.401428,0.045837,37.936,0.113661
C++,bubblesort,25000,11.520935,5.905457,0.146179,85.212,0.472025
C++,cyclesort,25000,11.972534,6.228943,0.039185,85.896,0.489792
C++,heapsort,25000,11.727661,6.131531,0.033203,85.608,0.479958
C++,insertionsort,25000,11.512207,6.072266,0.042358,85.032,0.464772
C++,mergesort,25000,12.764587,6.689026,0.032715,87.004,0.520513
C++,oddevensort,25000,11.546753,6.051697,0.043396,85.7,0.4699
C++,quicksort,25000,11.564392,6.062683,0.030762,84.928,0.470433
C++,selectionsort,25000,11.791626,6.134644,0.036621,85.264,0.48483
C#,bubblesort,25000,13.167175,6.894531,0.103516,65.468,0.533373
C#,cyclesort,25000,13.254395,6.997070,0.080200,67.352,0.534638
C#,heapsort,25000,12.960083,6.814392,0.033630,63.336,0.528137
C#,insertionsort,25000,12.884705,6.754333,0.035706,65.52,0.527245
C#,mergesort,25000,12.879333,6.815674,0.024597,67.568,0.522131
C#,oddevensort,25000,13.107239,6.913940,0.032959,63.528,0.532037
C#,quicksort,25000,13.264038,7.011597,0.068542,67.356,0.533993
C#,selectionsort,25000,12.981812,6.867126,0.034912,67.38,0.526411
Go,bubblesort,25000,3.690125,1.715393,0.035522,55.6,0.1649
Go,cyclesort,25000,3.284973,1.484131,0.024353,57.5,0.150447
Go,heapsort,25000,3.834351,1.858887,0.032166,54.84,0.164662
Go,insertionsort,25000,3.767700,1.673157,0.095276,57.364,0.17078
Go,mergesort,25000,3.121826,1.245605,0.042847,57.052,0.157621
Go,oddevensort,25000,3.686523,1.771057,0.029785,56.74,0.159187
Go,quicksort,25000,3.574829,1.789368,0.015015,55.028,0.152096
Go,selectionsort,25000,3.109863,1.433838,0.025879,56.692,0.139668
Haskell,bubblesort,25000,306.853210,160.566895,0.203430,630.884,12.3866
Haskell,cyclesort,25000,586.394775,306.450500,0.153931,715.092,23.6942
Haskell,heapsort,25000,311.485596,162.726379,0.119263,643.188,12.6035
Haskell,insertionsort,25000,309.200989,161.203796,0.243164,651.888,12.5215
Haskell,mergesort,25000,306.449707,159.516602,0.262817,687.436,12.4289
Haskell,oddevensort,25000,288.937073,151.127075,0.182556,670.192,11.6691
Haskell,quicksort,25000,306.001343,159.896973,0.185852,603.9,12.3715
Haskell,selectionsort,25000,325.839783,170.414856,0.159363,666.996,13.1574
